Calories,Carbs,Category,Date,Fat,Fibre,Food,Protein
10.0,20.0,Breakfast,2020-01-01,30.0,50.0,First,40.0
20.0,30.0,Breakfast,2020-01-02,40.0,60.0,Second,50.0
20.0,30.0,Breakfast,2020-01-03,40.0,60.0,Second,50.0
10.0,20.0,Breakfast,2020-01-04,30.0,50.0,First,40.0
10.0,20.0,Breakfast,2020-02-05,30.0,50.0,First,40.0
10.0,20.0,Breakfast,2020-02-06,30.0,50.0,First,40.0
10.0,20.0,Breakfast,2020-02-07,30.0,50.0,First,40.0
10.0,20.0,Breakfast,2020-02-10,30.0,50.0,First,40.0
10.0,20.0,Breakfast,2020-02-11,30.0,50.0,First,40.0
10.0,20.0,Breakfast,2020-02-12,30.0,50.0,First,40.0
10.0,20.0,Breakfast,2020-02-13,30.0,50.0,First,40.0
10.0,20.0,Breakfast,2020-02-11,30.0,50.0,First1,40.0
10.0,20.0,Breakfast,2020-02-11,30.0,50.0,First1,40.0
10.0,20.0,Breakfast,2020-02-11,30.0,50.0,First1,40.0
10.0,20.0,Breakfast,2020-02-11,30.0,50.0,First1,40.0
10.0,20.0,Breakfast,2020-02-11,30.0,50.0,First1,40.0
10.0,20.0,Breakfast,2020-02-11,30.0,50.0,First1,40.0
10.0,20.0,Breakfast,2020-02-11,30.0,50.0,First1,40.0
10.0,20.0,Breakfast,2020-02-11,30.0,50.0,First1,40.0
10.0,20.0,Breakfast,2020-02-11,30.0,50.0,First1,40.0
10.0,20.0,Breakfast,2020-02-11,30.0,50.0,First1,40.0
10.0,20.0,Breakfast,2020-02-11,30.0,50.0,First1,40.0
10.0,20.0,Breakfast,2020-02-11,30.0,50.0,First1,40.0
10.0,20.0,Breakfast,2020-02-12,30.0,50.0,First1,40.0
10.0,20.0,Breakfast,2020-02-12,30.0,50.0,First1,40.0
10.0,20.0,Breakfast,2020-02-12,30.0,50.0,First1,40.0
10.0,20.0,Breakfast,2020-02-12,30.0,50.0,First1,40.0
10.0,20.0,Breakfast,2020-02-12,30.0,50.0,First1,40.0
10.0,20.0,Breakfast,2020-02-12,30.0,50.0,First1,40.0
10.0,20.0,Breakfast,2020-02-12,30.0,50.0,First1,40.0
10.0,20.0,Breakfast,2020-02-12,30.0,50.0,First1,40.0
10.0,20.0,Breakfast,2020-02-12,30.0,50.0,First1,40.0
10.0,20.0,Breakfast,2020-02-12,30.0,50.0,First1,40.0
10.0,20.0,Breakfast,2020-02-12,30.0,50.0,First1,40.0
10.0,20.0,Breakfast,2020-02-12,30.0,50.0,First1,40.0
10.0,20.0,Breakfast,2020-02-12,30.0,50.0,First1,40.0
10.0,20.0,Breakfast,2020-02-12,30.0,50.0,First1,40.0
10.0,20.0,Breakfast,2020-02-12,30.0,50.0,First1,40.0
10.0,20.0,Breakfast,2020-02-12,30.0,50.0,First1,40.0
6400.0,,,2020-02-12,,,,
6400.0,,,2020-02-12,,,,
6550.0,,,2020-02-12,,,,
