Food,Calories,Carbs,Fat,Protein,Fibre,Category,Date
First,10.0,20.0,30.0,40.0,50.0,Breakfast,2020-01-01
Second,20.0,30.0,40.0,50.0,60.0,Breakfast,2020-01-02
Second,20.0,30.0,40.0,50.0,60.0,Breakfast,2020-01-03
First,10.0,20.0,30.0,40.0,50.0,Breakfast,2020-01-04
First,10.0,20.0,30.0,40.0,50.0,Breakfast,2020-02-05
First,10.0,20.0,30.0,40.0,50.0,Breakfast,2020-02-06
First,10.0,20.0,30.0,40.0,50.0,Breakfast,2020-02-07
First,10.0,20.0,30.0,40.0,50.0,Breakfast,2020-02-10
First,10.0,20.0,30.0,40.0,50.0,Breakfast,2020-02-11
First,10.0,20.0,30.0,40.0,50.0,Breakfast,2020-02-12
First,10.0,20.0,30.0,40.0,50.0,Breakfast,2020-02-13
First1,10.0,20.0,30.0,40.0,50.0,Breakfast,2020-02-11
First1,10.0,20.0,30.0,40.0,50.0,Breakfast,2020-02-11
First1,10.0,20.0,30.0,40.0,50.0,Breakfast,2020-02-11
First1,10.0,20.0,30.0,40.0,50.0,Breakfast,2020-02-11
First1,10.0,20.0,30.0,40.0,50.0,Breakfast,2020-02-11
First1,10.0,20.0,30.0,40.0,50.0,Breakfast,2020-02-11
First1,10.0,20.0,30.0,40.0,50.0,Breakfast,2020-02-11
First1,10.0,20.0,30.0,40.0,50.0,Breakfast,2020-02-11
First1,10.0,20.0,30.0,40.0,50.0,Breakfast,2020-02-11
First1,10.0,20.0,30.0,40.0,50.0,Breakfast,2020-02-11
First1,10.0,20.0,30.0,40.0,50.0,Breakfast,2020-02-11
First1,10.0,20.0,30.0,40.0,50.0,Breakfast,2020-02-11
First1,10.0,20.0,30.0,40.0,50.0,Breakfast,2020-02-12
First1,10.0,20.0,30.0,40.0,50.0,Breakfast,2020-02-12
First1,10.0,20.0,30.0,40.0,50.0,Breakfast,2020-02-12
First1,10.0,20.0,30.0,40.0,50.0,Breakfast,2020-02-12
First1,10.0,20.0,30.0,40.0,50.0,Breakfast,2020-02-12
First1,10.0,20.0,30.0,40.0,50.0,Breakfast,2020-02-12
First1,10.0,20.0,30.0,40.0,50.0,Breakfast,2020-02-12
First1,10.0,20.0,30.0,40.0,50.0,Breakfast,2020-02-12
First1,10.0,20.0,30.0,40.0,50.0,Breakfast,2020-02-12
First1,10.0,20.0,30.0,40.0,50.0,Breakfast,2020-02-12
First1,10.0,20.0,30.0,40.0,50.0,Breakfast,2020-02-12
First1,10.0,20.0,30.0,40.0,50.0,Breakfast,2020-02-12
First1,10.0,20.0,30.0,40.0,50.0,Breakfast,2020-02-12
First1,10.0,20.0,30.0,40.0,50.0,Breakfast,2020-02-12
First1,10.0,20.0,30.0,40.0,50.0,Breakfast,2020-02-12
First1,10.0,20.0,30.0,40.0,50.0,Breakfast,2020-02-12
First1,10.0,20.0,30.0,40.0,50.0,Breakfast,2020-02-12
First1,10.0,20.0,30.0,40.0,50.0,Breakfast,2020-02-12
First1,10.0,20.0,30.0,40.0,50.0,Breakfast,2020-02-12
